,Player,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All Star
167,Channing Frye,C,32,26,446,14.9,0.586,0.708,0.087,3.1,20.4,11.8,9.1,0.9,1.5,7.2,18.3,0.9,0.6,1.5,0.157,1.3,-0.2,1.0,0.3,0
168,Danilo Gallinari,SF,27,53,1839,19.0,0.5820000000000001,0.341,0.617,3.1,14.0,8.5,11.8,1.1,0.8,8.0,23.0,5.5,0.9,6.3,0.165,3.4,-0.7,2.7,2.2,0
169,Langston Galloway,PG,24,82,2033,11.7,0.49,0.381,0.19399999999999998,2.3,13.0,7.7,15.7,1.9,0.8,8.7,15.6,1.4,1.8,3.3,0.077,-1.7,0.7,-1.0,0.5,0
170,Kevin Garnett*,PF,39,38,556,12.3,0.491,0.009000000000000001,0.183,3.2,27.9,15.7,16.4,2.5,1.5,11.4,11.3,0.4,0.7,1.1,0.092,-1.6,3.1,1.5,0.5,0
171,Marc Gasol,C,31,52,1791,17.7,0.528,0.004,0.34700000000000003,3.5,20.2,11.5,18.9,1.4,3.6,12.7,23.4,1.8,1.9,3.7,0.098,0.8,0.9,1.7,1.7,0
172,Pau Gasol,C,35,72,2291,21.7,0.529,0.069,0.29,7.3,28.7,18.2,21.7,0.9,4.7,12.8,24.6,3.2,3.9,7.1,0.149,2.7,2.3,4.9,4.0,0
173,Rudy Gay,SF,29,70,2379,15.5,0.5379999999999999,0.214,0.252,4.7,15.9,10.4,8.0,2.0,1.7,11.1,22.4,1.8,2.1,3.8,0.078,-0.1,-0.3,-0.3,1.0,0
174,Alonzo Gee,SF,28,73,1632,8.4,0.5720000000000001,0.235,0.259,3.9,13.0,8.3,6.2,1.9,0.7,16.2,9.2,1.0,0.9,1.9,0.055999999999999994,-3.2,0.6,-2.6,-0.2,0
175,Paul George,SF,25,81,2819,20.9,0.557,0.391,0.364,3.1,18.7,10.9,20.3,2.7,0.8,13.6,30.4,4.4,4.8,9.2,0.157,3.7,1.2,4.9,4.9,1
176,Taj Gibson,PF,30,73,1936,15.7,0.556,0.006,0.292,11.4,15.9,13.7,8.3,1.2,2.9,12.1,14.6,3.2,2.2,5.4,0.133,-0.4,0.4,0.0,1.0,0
